arm,track,seed,runaway,parade,swap,leadChanges,gap090
R94-ON,mountainstreet,44,0,0,0,0,2.9764
R94-ON,mountainstreet,45,0,0,1,1,3.1676
R94-ON,mountainstreet,46,0,0,0,0,0.8308
R94-ON,mountainstreet,47,0,0,0,0,1.2624
R94-ON,mountainstreet,48,0,0,0,2,1.1955
R94-ON,mountainstreet,49,0,0,1,2,1.12
R94-ON,mountainstreet,50,0,0,1,2,1.1255
R94-ON,mountainstreet,51,0,0,0,0,0.9849
R94-ON,mountainstreet,52,0,0,1,1,1.0652
R94-ON,mountainstreet,53,0,0,0,0,1.1983
R94-ON,mountainstreet,54,0,0,0,0,2.7566
R94-ON,mountainstreet,55,1,0,0,1,3.0877
R94-ON,mountainstreet,56,0,0,1,2,0.4771
R94-ON,mountainstreet,57,0,0,1,3,1.9443
R94-ON,mountainstreet,58,0,0,0,1,1.2016
R94-ON,mountainstreet,59,0,0,1,2,0.045
R94-ON,mountainstreet,60,0,0,0,1,1.3635
R94-ON,mountainstreet,61,0,0,0,1,0.8202
R94-ON,mountainstreet,62,0,0,0,1,1.4208
R94-ON,mountainstreet,63,0,0,1,3,0.0001
R94-ON,mountainstreet,64,0,0,1,2,0.3428
R94-ON,mountainstreet,65,0,0,0,2,0.3054
R94-ON,mountainstreet,66,0,0,0,0,0.9681
R94-ON,mountainstreet,67,0,0,1,2,0.5356
R94-ON,mountainstreet,68,0,0,1,1,0.0209
R94-ON,mountainstreet,69,0,1,0,1,1.1824
R94-ON,mountainstreet,70,0,0,0,2,1.0156
R94-ON,mountainstreet,71,0,0,0,1,0.4413
R94-ON,mountainstreet,72,0,0,1,2,0.9623
R94-ON,mountainstreet,73,0,0,1,3,0.533
R94-ON,mountainstreet,74,0,0,0,1,2.3111
R94-ON,mountainstreet,75,0,0,0,1,2.5624
R94-ON,mountainstreet,76,0,0,1,1,0.9389
R94-ON,mountainstreet,77,0,0,1,3,0.2758
R94-ON,mountainstreet,78,0,0,0,0,1.2108
R94-ON,mountainstreet,79,0,0,0,1,0.391
R94-ON,mountainstreet,80,1,0,0,1,4.38
R94-ON,mountainstreet,81,0,0,0,0,1.2928
R94-ON,mountainstreet,82,0,0,1,3,0.4197
R94-ON,mountainstreet,83,0,0,1,1,0.5953
R94-ON,mountainstreet,84,0,0,0,1,0.1513
R94-ON,mountainstreet,85,0,0,1,3,0.7938
R94-ON,mountainstreet,86,0,0,0,2,0.694
R94-ON,mountainstreet,87,0,0,1,3,2.4997
R94-ON,mountainstreet,88,0,0,0,0,1.607
R94-ON,mountainstreet,89,0,0,0,1,2.7747
R94-ON,mountainstreet,90,0,0,1,2,0.773
R94-ON,mountainstreet,91,0,0,0,1,2.1097
R94-ON,mountainstreet,92,0,0,1,4,1.4755
R94-ON,mountainstreet,93,0,0,0,1,2.1678
R94-ON,mountainstreet,94,0,0,0,1,0.5012
R94-ON,mountainstreet,95,0,0,1,2,1.7671
R94-ON,mountainstreet,96,1,0,0,3,4.7994
R94-ON,mountainstreet,97,0,0,0,2,1.5009
R94-ON,mountainstreet,98,0,0,0,0,1.8773
R94-ON,mountainstreet,99,0,0,0,1,1.5789
R94-ON,mountainstreet,100,0,0,0,1,0.4023
