arm,track,type,seed,finaleLeadChanges,deadFinale,gapP1P2,gapP2P3,duoEscape,deadDuoFinale,frontGroupAtLine,within3At090,leaderGapP2At090,leadChanges62,distinctLeaders62,p1Contest62,runaway,parade,winnerIsLeaderAt090
A8-G075,luger-hill,open,78,2,0,0.0518,1.108,0,0,9,6,0.0932,3,3,1,0,0,1
A8-G075,luger-hill,open,79,3,0,0.0305,0.8867,0,0,9,9,0.36,4,5,1,0,0,0
A8-G075,luger-hill,open,80,2,0,2.3593,1.9206,0,0,2,0,3.7531,2,3,0,1,0,1
A8-G075,luger-hill,open,81,1,0,1.2323,0.1426,0,0,4,2,0.7675,3,4,1,0,0,0
A8-G075,luger-hill,open,82,1,0,2.0803,1.0519,0,0,2,2,0.3964,3,4,1,0,0,0
A8-G075,luger-hill,open,83,0,1,2.0406,1.2571,0,0,2,3,1.4866,4,4,1,0,0,1
A8-G075,luger-hill,open,84,1,0,0.11,0.1764,0,0,5,2,0.4726,1,2,0,0,0,1
A8-G075,luger-hill,open,85,1,0,1.2019,2.5569,0,0,2,2,1.081,2,3,0,0,0,1
A8-G075,luger-hill,open,86,2,0,0.1898,1.36,0,0,3,0,3.815,2,3,0,0,0,1
A8-G075,luger-hill,open,87,1,0,1.6859,1.2462,0,0,3,2,0.4616,1,2,0,0,0,1
A8-G075,luger-hill,open,88,4,0,0.2719,1.3307,0,0,4,3,0.1983,3,3,1,0,0,1
A8-G075,luger-hill,open,89,0,1,0.3682,2.3016,1,1,3,1,2.5294,2,3,0,0,0,1
A8-G075,luger-hill,open,90,0,1,1.3685,0.4816,0,0,4,7,0.5052,6,6,1,0,0,1
A8-G075,luger-hill,open,91,1,0,1.0594,3.1288,0,0,2,0,3.407,1,2,0,1,0,1
A8-G075,luger-hill,open,92,1,0,3.4548,0.5601,0,0,1,1,2.0236,1,2,0,0,0,1
A8-G075,luger-hill,open,93,0,1,2.8796,0.1869,0,0,2,0,3.4236,5,4,1,1,0,1
A8-G075,luger-hill,open,94,1,0,4.0185,0.9366,0,0,1,1,2.2745,2,3,0,0,0,1
A8-G075,luger-hill,open,95,0,1,2.936,1.9867,0,0,2,4,1.3881,6,6,1,0,0,1
A8-G075,luger-hill,open,96,1,0,2.7674,0.1526,0,0,3,4,1.1379,2,3,0,0,0,1
A8-G075,luger-hill,open,97,2,0,1.4932,0.7313,0,0,5,1,2.7214,2,3,0,0,0,1
A8-G075,luger-hill,open,98,1,0,0.1551,0.8531,0,0,6,3,0.9925,3,4,0,0,0,1
A8-G075,luger-hill,open,99,1,0,1.7627,1.3519,0,0,2,0,3.2864,2,3,0,1,0,1
A8-G075,luger-hill,open,100,0,1,0.5275,0.9892,0,0,3,5,0.8217,2,3,0,0,0,1
A8-G075,mountainstreet,open,1,1,0,3.5517,0.5402,0,0,1,0,7.3153,4,5,0,1,0,1
A8-G075,mountainstreet,open,2,1,0,3.2107,2.2853,0,0,1,3,2.6592,2,3,0,0,0,1
A8-G075,mountainstreet,open,3,2,0,1.3806,3.6419,0,0,2,1,0.2423,4,5,1,0,0,1
A8-G075,mountainstreet,open,4,3,0,1.0468,1.4201,0,0,3,2,0.7615,2,3,0,0,0,1
A8-G075,mountainstreet,open,5,0,1,1.5032,1.0316,0,0,4,2,1.0164,4,3,1,0,0,1
A8-G075,mountainstreet,open,6,3,0,1.8216,0.7888,0,0,3,1,1.3289,3,4,1,0,0,0
A8-G075,mountainstreet,open,7,2,0,0.6437,0.3966,0,0,6,0,3.2336,5,6,1,0,0,0
A8-G075,mountainstreet,open,8,1,0,0.5456,0.0484,0,0,9,0,4.3108,3,4,1,0,0,0
A8-G075,mountainstreet,open,9,2,0,0.0956,2.441,1,0,7,2,1.504,4,4,1,0,0,0
A8-G075,mountainstreet,open,10,1,0,0.6051,0.1588,0,0,4,3,1.199,3,3,1,0,0,0
A8-G075,mountainstreet,open,11,1,0,1.7729,1.6758,0,0,2,0,4.6846,1,2,0,1,0,1
A8-G075,mountainstreet,open,12,0,1,2.1718,1.3904,0,0,2,1,1.0436,1,2,0,0,0,1
A8-G075,mountainstreet,open,13,0,1,1.2079,1.2861,0,0,3,4,0.0987,2,3,0,0,0,1
A8-G075,mountainstreet,open,14,4,0,1.2427,2.0793,0,0,2,2,0.6637,4,5,1,0,0,0
A8-G075,mountainstreet,open,15,1,0,1.2667,0.0367,0,0,8,4,0.1229,6,2,0,0,0,1
A8-G075,mountainstreet,open,16,0,1,1.1026,0.0795,0,0,7,2,1.616,2,3,0,0,0,1
A8-G075,mountainstreet,open,17,2,0,0.5593,0.876,0,0,4,2,0.5058,3,3,1,0,0,1
A8-G075,mountainstreet,open,18,1,0,0.3443,0.1347,0,0,16,12,1.3168,6,6,1,0,0,0
A8-G075,mountainstreet,open,19,2,0,0.5666,2.482,1,0,2,1,1.8193,3,4,1,0,0,1
A8-G075,mountainstreet,open,20,2,0,0.0938,0.7137,0,0,6,1,1.1171,3,3,1,0,0,0
A8-G075,mountainstreet,open,21,1,0,0.788,0.2597,0,0,9,3,1.1076,4,3,1,0,0,0
A8-G075,mountainstreet,open,22,1,0,0.516,1.0403,0,0,5,2,1.5441,4,4,1,0,0,1
A8-G075,mountainstreet,open,23,0,1,0.1317,2.954,1,1,2,2,1.6775,4,4,1,0,0,1
A8-G075,mountainstreet,open,24,1,0,2.1743,1.4113,0,0,2,6,0.8616,1,2,0,0,0,1
A8-G075,mountainstreet,open,25,2,0,1.3164,0.3436,0,0,4,3,0.7897,4,5,1,0,0,0
