track,type,raceIdx,runaway,sample,rank,index,effSpeed,product,baseSpeed,spreadFactor,speedBonusMult,boost,brake,rowEnvMult,trajectoryMult,areaBonusMult,governorMult,servoSaturated,servoHeadroom,bandHeadroom,finishClamp,gapAhead
searound,closed,0,1,0.9,11,34,0.000320972,0.000320972,0.000399247,1.072049,1.036268,1,0.945,1,0.850734,1,1,0,0.249266,0.009291,0,0.1019
searound,closed,0,1,0.9,12,0,0.000351316,0.000351316,0.000342123,0.91866,1.036268,1,0.945,1,1.086637,1,1,0,0.013363,0.162679,0,0.1551
searound,closed,0,1,0.9,13,3,0.000339097,0.000339097,0.000360313,0.978926,1.024178,1,0.945,1,0.99589,1,1,0,0.10411,0.102414,0,0.1629
searound,closed,0,1,0.9,14,15,0.000345793,0.000345793,0.00038831,1.080498,1,1.04,0.945,1,0.906092,1,1,0,0.193908,0.000842,0,0.0691
searound,closed,0,1,0.9,15,8,0.000320093,0.000320093,0.000341043,0.93207,1.018134,1.04,0.945,1,0.954998,1,1,0,0.145002,0.149269,0,0.156
searound,closed,0,1,0.95,1,11,0.000375317,0.000375317,0.000395167,1.079992,1.018134,1,1,1,0.949767,1,1,0,0.150233,0.001348,0,0
searound,closed,0,1,0.95,2,29,0.000335056,0.000335056,0.000352633,0.981222,1,1,1,1,0.950156,1,1,0,0.149844,0.100117,0,8.8128
searound,closed,0,1,0.95,3,22,0.000349649,0.000349649,0.000390962,1.08134,1.006045,1,0.945,1,0.946382,1,1,0,0.153618,0,0,1.0245
searound,closed,0,1,0.95,4,35,0.000334543,0.000334543,0.000393311,1.08134,1.012089,1,1,1,0.850581,1,1,0,0.249419,0,0,3.0398
searound,closed,0,1,0.95,5,2,0.000345632,0.000345632,0.000337241,0.927186,1.012089,1,1,1,1.024879,1,1,0,0.075121,0.154153,0,0.0286
searound,closed,0,1,0.95,6,37,0.000321519,0.000321519,0.000400273,1.08111,1.030223,1,0.945,1,0.85,1,1,0,0.25,0.000229,0,1.0256
searound,closed,0,1,0.95,7,5,0.000340075,0.000340075,0.000340026,0.929292,1.018134,1,1,1,1.000145,1,1,0,0.099855,0.152048,0,0.501
searound,closed,0,1,0.95,8,26,0.000339734,0.000339734,0.000365805,1.017874,1,1,0.929013,1,0.999697,1,1,0,0.100303,0.063466,0,0.2606
searound,closed,0,1,0.95,9,10,0.000332489,0.000332489,0.000398009,1.08134,1.024178,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.1433
searound,closed,0,1,0.95,10,34,0.000321292,0.000321292,0.000399645,1.073118,1.036268,1,0.945,1,0.850734,1,1,0,0.249266,0.008221,0,1.1223
searound,closed,0,1,0.95,11,32,0.000347687,0.000347687,0.000393311,1.08134,1.012089,1.04,1,1,0.85,1,1,0,0.25,0,0,0.0149
searound,closed,0,1,0.95,12,3,0.000328217,0.000328217,0.000359891,0.977777,1.024178,1.04,0.945,1,0.927952,1,1,0,0.172048,0.103563,0,0.0523
searound,closed,0,1,0.95,13,9,0.000333978,0.000333978,0.000340127,0.91866,1.030223,1,0.893391,1,1.099095,1,1,0,0.000905,0.162679,0,0.1051
searound,closed,0,1,0.95,14,0,0.000332453,0.000332453,0.000342123,0.91866,1.036268,1.04,0.945,1,0.988743,1,1,0,0.111257,0.162679,0,0.0986
searound,closed,0,1,0.95,15,15,0.000344553,0.000344553,0.000388613,1.08134,1,1.04,1,1,0.852522,1,1,0,0.247478,0,0,0.1099
searound,closed,1,0,0.7,1,7,0.000303107,0.000303107,0.000356501,0.991985,1,1,1,1,0.850227,1,1,0,0.249773,0.089355,0,0
searound,closed,1,0,0.7,2,38,0.000350709,0.000350709,0.000390962,1.08134,1.006045,1,1,1,0.897042,1,1,0,0.202958,0,0,0.8604
searound,closed,1,0,0.7,3,37,0.000302803,0.000302803,0.000388613,1.08134,1,1,0.916695,1,0.85,1,1,0,0.25,0,0,0.2286
searound,closed,1,0,0.7,4,1,0.000312142,0.000312142,0.000367158,1.003443,1.018134,1,1,1,0.850157,1,1,0,0.249843,0.077897,0,1.0379
searound,closed,1,0,0.7,5,4,0.000308374,0.000308374,0.000380487,1.052367,1.006045,1,0.945,1,0.857642,1,1,0,0.242358,0.028973,0,0.1225
searound,closed,1,0,0.7,6,0,0.000349763,0.000349763,0.00039566,1.08134,1.018134,1.04,1,1,0.85,1,1,0,0.25,0,0,0.9042
