S,track,seed,escapeDepthLen,escapeDepthCapped,maxLeaderGapLen,leaderDownCount,finaleLead,finaleDistinct,dead,frontGroupAtLine,duoEscape,gapP1P2,gapP2P3,runaway,parade,bandReach
0.50,city-circuit,2,1.53,1,2.799,1,1,2,0,2,0,2.8,1.234,0,0,0.788
0.50,city-circuit,3,2.444,1,3.66,3,2,3,0,10,0,1.278,0.368,0,0,0.788
0.50,city-circuit,4,2.73,1,2.73,2,1,2,0,9,0,1.714,0.519,0,0,0.788
0.50,city-circuit,5,2.65,1,2.65,1,3,4,0,2,0,1.584,1.518,0,0,0.788
0.50,city-circuit,6,1.151,1,5.012,3,3,4,0,5,0,0.892,0.128,0,0,0.788
0.50,city-circuit,7,3.802,1,3.893,1,1,2,0,6,0,0.106,0.173,0,0,0.788
0.50,city-circuit,8,3.385,1,3.385,3,2,3,0,3,0,1.587,0.978,0,0,0.788
0.50,city-circuit,9,2.325,1,6.201,3,3,4,0,2,0,1.196,6.051,1,0,0.788
0.50,city-circuit,10,2.355,1,2.585,2,0,1,1,7,0,0.244,0.064,0,0,0.788
0.50,city-circuit,11,4.124,1,4.124,1,3,3,0,6,0,0.748,0.614,0,0,0.788
0.50,city-circuit,12,1.812,1,5.43,4,2,3,0,4,0,0.818,0.408,0,0,0.788
0.50,city-circuit,13,3.057,1,4.047,3,1,2,0,1,0,3.281,1.659,0,0,0.788
0.50,city-circuit,14,1.579,1,4.268,3,2,3,0,1,0,4.135,4.268,0,0,0.788
0.50,city-circuit,15,4.912,1,5.083,3,3,3,0,4,0,0.196,0.064,0,1,0.788
0.50,city-circuit,16,1.555,1,4.298,1,0,1,1,2,0,1.268,2.246,0,0,0.788
0.50,city-circuit,17,2.595,1,3.046,2,1,2,0,3,0,1.529,0.564,0,0,0.788
0.50,city-circuit,18,1.916,1,3.91,1,0,1,1,1,0,3.915,1.2,0,0,0.788
0.50,city-circuit,19,1.711,0,1.711,0,6,6,0,13,0,0.285,0.057,0,0,0.788
0.50,city-circuit,20,1.576,1,5.176,1,4,5,0,8,0,0.517,0.434,0,0,0.788
0.50,city-circuit,21,1.626,1,4.594,2,2,3,0,3,0,0.733,1.298,0,0,0.788
0.50,city-circuit,22,2.98,1,2.98,2,0,1,1,6,0,1.011,1.196,0,0,0.788
0.50,city-circuit,23,4.679,1,4.679,2,2,3,0,6,0,2.103,0.043,0,0,0.788
0.50,city-circuit,24,3.687,1,3.687,2,2,3,0,5,0,0.665,1.489,0,0,0.788
0.50,city-circuit,25,2.876,1,3.197,1,1,2,0,3,0,1.014,1.501,0,0,0.788
1.0,searound,1,6.918,1,6.918,1,1,2,0,3,0,0.224,1.167,0,0,0.718
1.0,searound,2,1.958,1,2.562,2,0,1,1,2,0,2.46,1.956,0,0,0.718
1.0,searound,3,1.898,1,4.346,2,3,4,0,5,0,1.139,0.731,0,0,0.718
1.0,searound,4,2.118,1,5.385,1,2,3,0,2,1,0.215,3.046,0,1,0.718
1.0,searound,5,1.69,1,3.677,2,1,2,0,6,0,0.276,1.188,0,0,0.718
1.0,searound,6,1.178,1,7.022,3,3,4,0,1,0,5.245,0.073,1,0,0.718
1.0,searound,7,1.546,1,4.648,2,1,2,0,9,0,1.577,0.242,0,0,0.718
1.0,searound,8,2.679,1,3.394,2,3,4,0,3,0,1.211,0.01,0,0,0.718
1.0,searound,9,1.534,1,1.716,2,2,3,0,4,0,0.692,0.814,0,0,0.718
1.0,searound,10,2.185,1,3.918,1,3,4,0,8,0,0.064,0.759,0,0,0.718
