arm,track,raceIdx,startP,endP,durationMs,peakGapLen,resolved,corrected,hadCorrectableRollAhead,startedAfterWindowEnd,cause
s1.0,searound,19,0.4626,0.4879,2320,1.2275,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,19,0.6093,0.7005,8864,1.5001,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,19,0.7714,0.9743,18704,4.679,1,1,1,0,CORRECTED
s1.0,searound,19,0.9996,1,6960,0.7784,0,0,0,1,OUT-OF-ROLLS
s1.0,searound,20,0.1399,0.337,16880,2.5809,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,20,0.6645,0.7,3184,1.3725,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,20,0.7228,0.8644,12672,4.0442,1,1,1,0,CORRECTED
s1.0,searound,20,0.9366,1,11392,2.0486,0,0,0,1,OUT-OF-ROLLS
s1.0,searound,21,0.1236,0.1757,4496,1.1512,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,21,0.4823,0.4847,224,0.7834,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,21,0.5112,0.556,4064,1.5611,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,21,0.5946,0.6324,3504,1.0332,1,1,1,0,CORRECTED
s1.0,searound,21,0.6568,0.8329,16272,2.1134,1,1,1,0,CORRECTED
s1.0,searound,21,0.8569,1,17296,1.6601,0,0,0,0,OUT-OF-ROLLS
s1.0,searound,22,0.0638,0.278,17872,1.9181,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,22,0.4107,0.5391,11632,1.5028,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,22,0.7096,0.9598,24416,4.1518,1,1,1,0,CORRECTED
s1.0,searound,22,0.982,1,7920,1.8479,0,0,0,1,OUT-OF-ROLLS
s1.0,searound,23,0.0677,0.3022,19712,3.3402,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,23,0.3809,0.3946,1360,0.7661,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,23,0.5899,0.6869,9072,1.8179,1,1,1,0,CORRECTED
s1.0,searound,24,0.0389,0.2688,19408,1.954,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,24,0.3006,0.3273,2448,0.8232,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,24,0.3954,0.4005,464,0.8526,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,24,0.5575,0.6566,9312,1.5009,1,1,1,0,CORRECTED
s1.0,searound,24,0.7337,0.7991,6352,1.825,1,1,1,0,CORRECTED
s1.0,searound,24,0.8428,0.8492,608,0.865,1,0,0,0,OUT-OF-ROLLS
s1.0,searound,24,0.8971,1,13488,1.5664,0,0,0,0,OUT-OF-ROLLS
