arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
V0,mountainstreet,31,normal,0,0,3,2,0.8768,0.4912,5.344,682
V0,mountainstreet,32,runaway,1,0,1,0,1,0,0,653
V0,mountainstreet,33,normal,0,0,1,0,1,0.1606,1.68,660
V0,mountainstreet,34,normal,0,0,1,0,1,0.9557,5.392,654
V0,mountainstreet,35,normal,0,0,2,2,0.5912,0,0,680
V0,mountainstreet,36,normal,0,1,4,3,0.6852,1,11.472,718
V0,mountainstreet,37,normal,0,0,1,0,1,0.8088,8.848,685
V0,mountainstreet,38,runaway,1,0,1,0,1,0,0,699
V0,mountainstreet,39,normal,0,1,3,3,0.4642,1,11.152,698
V0,mountainstreet,40,runaway,1,0,1,0,1,0,0,668
V0,mountainstreet,41,normal,0,0,2,1,0.5935,0.9161,9.936,679
V0,mountainstreet,42,normal,0,0,2,1,0.5975,0,0,708
V0,mountainstreet,43,normal,0,0,1,0,1,0.6623,5.856,681
V0,mountainstreet,44,normal,0,0,2,1,0.9327,0.2269,2.368,683
V0,mountainstreet,45,runaway,1,0,1,0,1,0,0,679
V0,mountainstreet,46,normal,0,0,1,0,1,0.404,4.528,703
V0,mountainstreet,47,normal,0,0,1,0,1,1,10.768,674
V0,mountainstreet,48,normal,0,0,1,0,1,1,11.344,710
V0,mountainstreet,49,normal,0,1,4,4,0.6855,1,10.72,671
V0,mountainstreet,50,normal,0,0,1,0,1,0.2626,2.912,697
V0,mountainstreet,51,normal,0,0,1,0,1,1,10.88,681
V0,mountainstreet,52,normal,0,0,2,1,0.9078,0.3804,4.208,694
V0,mountainstreet,53,runaway,1,0,1,0,1,0,0,640
V0,mountainstreet,54,runaway,1,0,1,0,1,0.338,3.488,648
V0,mountainstreet,55,normal,0,0,1,0,1,0.1491,1.456,617
V0,mountainstreet,56,normal,0,1,4,3,0.611,1,11.376,712
V0,mountainstreet,57,normal,0,0,3,3,0.7511,0.7167,4.672,699
V0,mountainstreet,58,normal,0,0,1,0,1,0,0,670
V0,mountainstreet,59,normal,0,0,3,2,0.6349,0.9795,8.608,682
V0,mountainstreet,60,normal,0,0,2,1,0.9953,0.715,7.248,635
V0,mountainstreet,61,normal,0,0,2,5,0.7065,0.8274,8.96,678
V0,mountainstreet,62,normal,0,0,2,1,0.8059,0.6197,6.32,639
V0,mountainstreet,63,normal,0,1,4,3,0.5394,0.9267,10.704,723
V0,mountainstreet,64,normal,0,0,2,1,0.6975,0.545,6.384,734
V0,mountainstreet,65,runaway,1,0,1,0,1,0.3614,3.904,678
V0,mountainstreet,66,normal,0,0,2,1,0.6963,0,0,698
V0,mountainstreet,67,runaway,1,0,2,1,0.9703,0.4109,4.192,640
V0,mountainstreet,68,normal,0,0,1,0,1,1,10.544,660
V0,mountainstreet,69,normal,0,0,2,1,0.5022,0.2759,3.008,685
V0,mountainstreet,70,normal,0,0,1,0,1,0.2257,2.544,709
V0,mountainstreet,71,normal,0,0,2,1,0.9708,1,10.96,686
V0,mountainstreet,72,normal,0,0,3,2,0.891,0.9656,10.752,697
V0,mountainstreet,73,normal,0,0,1,0,1,0,0,671
V0,mountainstreet,74,normal,0,0,1,0,1,0.4479,4.864,681
V0,mountainstreet,75,normal,0,0,1,0,1,0,0,680
V0,mountainstreet,76,runaway,1,0,1,0,1,0,0,700
V0,mountainstreet,77,normal,0,0,3,3,0.7031,1,10.976,687
V0,mountainstreet,78,normal,0,0,1,0,1,1,11.408,714
V0,mountainstreet,79,normal,0,1,4,4,0.5436,1,11.552,723
V0,mountainstreet,80,runaway,1,0,1,0,1,0,0,676
V0,mountainstreet,81,runaway,1,0,1,0,1,0,0,697
V0,mountainstreet,82,normal,0,0,2,1,0.9653,0.8365,9.232,691
V0,mountainstreet,83,normal,0,0,2,2,0.7693,1,10.944,685
V0,mountainstreet,84,normal,0,0,3,2,0.4914,0.788,8.784,698
V0,mountainstreet,85,normal,0,0,2,1,0.6706,1,10.768,674
V0,mountainstreet,86,normal,0,0,2,1,0.6904,1,11.664,730
V0,mountainstreet,87,normal,0,0,1,0,1,0.3115,3.184,642
V0,mountainstreet,88,normal,0,0,2,1,0.8879,0.2533,2.768,687
V0,mountainstreet,89,normal,0,0,2,1,0.5879,0.0547,0.576,677
V0,mountainstreet,90,normal,0,1,4,5,0.479,1,10.672,668
V0,mountainstreet,91,normal,0,0,2,1,0.8548,0.0539,0.56,668
V0,mountainstreet,92,normal,0,0,2,1,0.9327,1,10.912,683
V0,mountainstreet,93,normal,0,0,2,1,0.9858,0.2862,2.896,636
V0,mountainstreet,94,normal,0,0,2,1,0.5391,0.6558,7.088,677
V0,mountainstreet,95,normal,0,0,2,1,0.816,0.7603,6.288,701
V0,mountainstreet,96,runaway,1,0,1,0,1,0,0,667
V0,mountainstreet,97,normal,0,0,1,0,1,0,0,693
V0,mountainstreet,98,normal,0,0,2,1,0.8867,1,10.72,671
V0,mountainstreet,99,normal,0,0,1,0,1,0.2978,3.072,648
V0,mountainstreet,100,normal,0,0,3,2,0.71,0.5363,5.664,662
